iter	Passed	Remaining
538	292	250
539	292	249
540	293	249
541	294	248
542	294	247
543	295	247
544	295	246
545	296	246
546	296	245
547	297	245
548	297	244
549	298	244
550	298	243
551	299	243
552	299	242
553	300	241
554	301	241
555	301	240
556	302	240
557	302	239
558	303	239
559	303	238
560	304	237
561	304	237
562	305	236
563	305	236
564	306	235
565	306	235
566	307	234
567	308	234
568	308	233
569	309	233
570	309	232
571	310	232
572	310	231
573	311	231
574	311	230
575	312	229
576	312	229
577	313	228
578	313	228
579	314	227
580	314	227
581	315	226
582	316	226
583	316	225
584	317	225
585	317	224
586	318	224
587	319	223
588	319	223
589	320	222
590	320	222
591	321	221
592	321	220
593	322	220
594	323	219
595	323	219
596	324	218
597	324	218
598	325	217
599	325	217
600	326	216
601	326	216
602	327	215
603	328	215
604	328	214
605	329	214
606	329	213
607	330	212
608	330	212
609	331	211
610	331	211
611	332	210
612	332	210
613	333	209
614	333	209
615	334	208
616	334	207
617	335	207
618	336	206
619	336	206
620	337	205
621	337	205
622	338	204
623	338	204
624	339	203
625	339	203
626	340	202
627	340	201
628	341	201
629	341	200
630	342	200
631	342	199
632	343	199
633	344	198
634	344	198
635	345	197
636	345	196
637	346	196
638	346	195
639	347	195
640	347	194
641	348	194
642	348	193
643	349	193
644	349	192
645	350	191
646	350	191
647	351	190
648	351	190
649	352	189
650	352	189
651	353	188
652	353	187
653	354	187
654	354	186
655	355	186
656	355	185
657	356	185
658	356	184
659	357	184
660	357	183
661	358	183
662	358	182
663	359	181
664	359	181
665	360	180
666	360	180
667	361	179
668	361	179
669	362	178
670	363	177
671	363	177
672	364	176
673	364	176
674	365	175
675	365	175
676	366	174
677	366	174
678	367	173
679	367	173
680	368	172
681	368	171
682	369	171
683	369	170
684	370	170
685	370	169
686	371	169
687	371	168
688	372	168
689	372	167
690	373	166
691	373	166
692	374	165
693	374	165
694	375	164
695	375	164
696	376	163
697	377	163
698	377	162
699	378	162
700	378	161
701	379	160
702	379	160
703	380	159
704	380	159
705	381	158
706	381	158
707	382	157
708	382	157
709	383	156
710	383	155
711	384	155
712	384	154
713	385	154
714	385	153
715	386	153
716	386	152
717	387	152
718	387	151
719	388	151
720	388	150
721	389	149
722	389	149
723	390	148
724	391	148
725	391	147
726	392	147
727	392	146
728	393	146
729	393	145
730	394	145
731	394	144
732	395	143
733	395	143
734	396	142
735	396	142
736	397	141
737	397	141
738	398	140
739	398	140
740	399	139
741	399	138
742	400	138
743	400	137
744	401	137
745	401	136
746	402	136
747	402	135
748	403	135
749	403	134
750	404	134
751	404	133
752	405	132
753	405	132
754	406	131
755	406	131
756	407	130
757	407	130
758	408	129
759	409	129
760	409	128
761	410	128
762	410	127
763	411	126
764	411	126
765	412	125
766	412	125
767	413	124
768	413	124
769	414	123
770	414	123
771	415	122
772	415	122
773	416	121
774	416	121
775	417	120
776	417	119
777	418	119
778	418	118
779	419	118
780	419	117
781	420	117
782	420	116
783	421	116
784	421	115
785	422	114
786	422	114
787	423	113
788	423	113
789	424	112
790	424	112
791	425	111
792	426	111
793	426	110
794	427	110
795	427	109
796	428	109
797	428	108
798	429	108
799	429	107
800	430	106
801	430	106
802	431	105
803	431	105
804	432	104
805	433	104
806	433	103
807	434	103
808	434	102
809	435	102
810	435	101
811	436	101
812	436	100
813	437	99
814	438	99
815	438	98
816	439	98
817	439	97
818	440	97
819	440	96
820	441	96
821	441	95
822	442	95
823	442	94
824	443	94
825	443	93
826	444	92
827	444	92
828	445	91
829	445	91
830	446	90
831	446	90
832	447	89
833	447	89
834	448	88
835	448	88
836	449	87
837	449	86
838	450	86
839	450	85
840	451	85
841	451	84
842	452	84
843	452	83
844	453	83
845	453	82
846	454	82
847	454	81
848	455	81
849	456	80
850	456	79
851	457	79
852	457	78
853	458	78
854	458	77
855	459	77
856	459	76
857	460	76
858	460	75
859	461	75
860	461	74
861	462	74
862	462	73
863	463	72
864	463	72
865	464	71
866	464	71
867	465	70
868	465	70
869	466	69
870	467	69
871	467	68
872	468	68
873	468	67
874	469	67
875	469	66
876	470	65
877	470	65
878	471	64
879	471	64
880	472	63
881	472	63
882	473	62
883	473	62
884	474	61
885	474	61
886	475	60
887	475	59
888	476	59
889	476	58
890	477	58
891	477	57
892	478	57
893	478	56
894	479	56
895	479	55
896	480	55
897	480	54
898	481	54
899	481	53
900	482	53
901	482	52
902	483	51
903	483	51
904	484	50
905	484	50
906	485	49
907	486	49
908	486	48
909	487	48
910	487	47
911	488	47
912	488	46
913	489	46
914	489	45
915	490	44
916	490	44
917	491	43
918	491	43
919	492	42
920	492	42
921	493	41
922	493	41
923	494	40
924	494	40
925	495	39
926	496	39
927	496	38
928	497	38
929	497	37
930	498	36
931	498	36
932	499	35
933	499	35
934	500	34
935	500	34
936	501	33
937	501	33
938	502	32
939	502	32
940	503	31
941	503	31
942	504	30
943	504	29
944	505	29
945	506	28
946	506	28
947	507	27
948	507	27
949	508	26
950	508	26
951	509	25
952	509	25
953	510	24
954	510	24
955	511	23
956	511	22
957	512	22
958	512	21
959	513	21
960	513	20
961	514	20
962	514	19
963	515	19
964	515	18
965	516	18
966	517	17
967	517	17
968	518	16
969	518	16
970	519	15
971	519	14
972	520	14
973	520	13
974	521	13
975	521	12
976	522	12
977	522	11
978	523	11
979	523	10
980	524	10
981	524	9
982	525	9
983	525	8
984	526	8
985	527	7
986	527	6
987	528	6
988	529	5
989	529	5
990	530	4
991	530	4
992	531	3
993	531	3
994	532	2
995	532	2
996	533	1
997	533	1
998	534	0
999	534	0
