iter	Passed	Remaining
0	0	758
1	1	675
2	1	648
3	2	638
4	3	626
5	3	620
6	4	615
7	4	614
8	5	612
9	6	619
10	6	624
11	7	622
12	8	617
13	8	615
14	9	610
15	9	608
16	10	606
17	11	605
18	11	602
19	12	602
20	12	599
21	13	598
22	14	597
23	14	595
24	15	595
25	15	594
26	16	593
27	17	596
28	17	595
29	18	595
30	19	595
31	19	593
32	20	594
33	20	593
34	21	592
35	22	592
36	22	591
37	23	590
38	23	590
39	24	589
40	25	589
41	25	588
42	26	587
43	27	587
44	27	585
45	28	585
46	28	583
47	29	583
48	29	582
49	30	581
50	31	579
51	31	578
52	32	577
53	32	576
54	33	575
55	34	574
56	34	574
57	35	572
58	35	572
59	36	570
60	37	570
61	37	568
62	38	568
63	38	567
64	39	567
65	40	566
66	40	565
67	41	564
68	41	563
69	42	562
70	42	562
71	43	560
72	44	559
73	44	558
74	45	557
75	45	557
76	46	557
77	47	557
78	47	556
79	48	555
80	48	555
81	49	554
82	49	550
83	50	549
84	51	549
85	51	548
86	52	547
87	52	547
88	53	546
89	53	545
90	54	545
91	55	544
92	55	544
93	56	543
94	56	542
95	57	542
96	58	541
97	58	540
98	59	539
99	59	539
100	60	538
101	61	537
102	61	537
103	62	536
104	62	535
105	63	534
106	63	533
107	64	533
108	65	532
109	65	531
110	66	531
111	66	531
112	67	530
113	68	529
114	68	529
115	69	528
116	69	526
117	70	525
118	70	524
119	71	524
120	72	523
121	72	521
122	73	521
123	73	520
124	74	518
125	74	517
126	75	516
127	75	515
128	76	514
129	76	514
130	77	512
131	77	511
132	78	510
133	78	509
134	79	509
135	79	508
136	80	506
137	81	506
138	81	505
139	82	504
140	82	503
141	83	501
142	83	500
143	84	499
144	84	498
145	85	497
146	85	496
147	86	496
148	86	495
149	87	495
150	87	494
151	88	493
152	88	492
153	89	491
154	89	490
155	90	489
156	90	488
157	91	487
158	91	486
159	92	485
160	92	483
161	93	482
162	93	481
163	94	480
164	94	479
165	96	483
166	97	486
167	98	485
168	98	484
169	99	484
170	99	483
171	100	482
172	100	481
173	101	480
174	101	479
175	102	478
176	102	477
177	103	476
178	103	475
179	104	475
180	104	474
181	105	473
182	105	472
183	106	472
184	106	471
185	107	470
186	107	469
187	108	468
188	109	468
189	109	467
190	110	466
191	110	465
192	111	464
193	111	463
194	112	462
195	112	462
196	113	461
197	113	460
198	114	459
199	114	458
200	115	457
201	115	457
202	116	457
203	117	456
204	117	455
205	118	454
206	118	454
207	119	453
208	119	452
209	120	451
210	120	450
211	121	450
212	121	449
213	122	448
214	122	447
215	123	448
216	124	447
217	124	447
218	125	446
219	125	445
220	126	444
221	126	444
222	127	443
223	127	442
224	128	441
225	128	441
226	129	440
227	129	439
228	130	438
229	130	437
230	131	437
231	131	436
232	132	435
233	132	434
234	133	434
235	133	433
236	134	432
237	134	431
238	135	430
239	135	430
240	136	429
241	136	428
242	137	428
243	137	427
244	138	426
245	139	426
246	139	425
247	140	425
248	140	424
249	141	423
250	141	423
251	142	422
252	142	421
253	143	420
254	143	420
255	144	419
256	144	418
257	145	418
258	145	417
259	146	417
260	147	416
261	147	416
262	148	415
263	148	415
264	149	414
265	149	413
266	150	413
267	151	412
268	151	412
269	152	411
270	152	410
271	153	410
272	153	409
273	154	408
274	154	407
275	155	407
276	155	406
277	156	406
278	157	406
279	157	405
280	158	404
281	158	404
282	159	403
283	159	402
284	160	402
285	160	401
286	161	400
287	161	399
288	162	399
289	162	398
290	163	397
291	163	397
292	164	396
293	164	395
294	165	395
295	166	394
296	166	394
297	167	393
298	167	393
299	168	392
300	168	391
301	169	390
302	169	390
303	170	389
304	170	388
305	171	388
306	171	387
307	172	386
308	172	386
309	173	385
310	173	384
311	174	384
312	174	383
313	175	382
314	175	382
315	176	381
316	176	381
317	177	380
318	177	379
319	178	379
320	178	378
321	179	377
322	180	377
323	180	376
324	181	376
325	181	375
326	182	374
327	182	374
328	183	373
329	183	372
330	184	372
331	184	371
332	185	370
333	185	370
334	186	369
335	186	369
336	187	368
337	187	367
338	188	367
339	188	366
340	189	365
341	189	365
342	190	364
343	190	363
344	191	363
345	191	362
346	192	361
347	192	361
348	193	360
349	193	360
350	194	359
351	194	358
352	195	358
353	195	357
354	196	357
355	197	356
356	197	355
357	198	355
358	198	354
359	199	354
360	199	353
361	200	352
362	200	352
363	201	351
364	201	350
365	202	350
366	202	349
367	203	349
368	203	348
369	204	347
370	204	347
371	205	346
372	205	345
373	206	345
374	207	345
375	207	344
376	208	343
377	208	343
378	209	342
379	209	341
380	210	341
381	210	340
382	211	340
383	211	339
384	212	338
385	212	338
386	213	337
387	213	336
388	214	336
389	214	335
390	215	335
391	215	334
392	216	333
393	216	333
394	217	332
395	217	332
396	218	331
397	218	330
398	219	330
399	219	329
400	220	329
401	220	328
402	221	327
403	221	327
404	222	326
405	222	326
406	223	325
407	223	324
408	224	324
409	224	323
410	225	322
411	225	322
412	226	321
413	227	321
414	227	320
415	228	320
416	228	319
417	229	318
418	229	318
419	230	317
420	230	317
421	231	316
422	231	315
423	232	315
424	232	314
425	233	314
426	233	313
427	234	312
428	234	312
429	235	311
430	235	311
431	236	310
432	236	310
433	237	309
434	238	309
435	238	308
436	239	308
437	239	307
438	240	307
439	240	306
440	241	305
441	241	305
442	242	304
443	242	304
444	243	303
445	243	302
446	244	302
447	244	301
448	245	301
449	245	300
450	246	300
451	247	299
452	247	299
453	248	298
454	248	297
455	249	297
456	249	296
457	250	296
458	250	295
459	251	294
460	251	294
461	252	293
462	252	293
463	253	292
464	253	291
465	254	291
466	254	290
467	255	290
468	255	289
469	256	289
470	256	288
471	257	288
472	258	287
473	258	286
474	259	286
475	259	285
476	260	285
477	260	284
478	261	283
479	261	283
480	262	282
481	262	282
482	263	281
483	263	281
484	264	280
485	264	280
486	265	279
487	265	278
488	266	278
489	266	277
490	267	277
491	267	276
492	268	276
493	269	275
494	269	274
495	270	274
496	270	273
497	270	273
498	271	272
499	271	271
500	272	271
501	272	270
502	273	270
503	274	269
504	274	269
505	275	268
506	275	267
507	276	267
508	276	266
509	277	266
510	277	265
511	278	265
512	278	264
513	279	264
514	280	263
515	280	263
516	281	262
517	281	261
518	281	261
519	282	260
520	282	260
521	283	259
522	283	259
523	284	258
524	285	257
525	285	257
526	286	256
527	286	256
528	287	255
529	287	255
530	288	254
531	288	254
532	289	253
533	289	252
534	290	252
535	290	251
536	291	251
537	291	250
